location,Ho Chi Minh City,Ho Chi Minh City,Ho Chi Minh City,Ho Chi Minh City
lat,10.66656,10.66656,10.66656,10.66656
lon,106.40625,106.40625,106.40625,106.40625
asl,1.340,1.340,1.340,1.340
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Temperature,Precipitation,Wind Speed,Wind Direction
20200606T1300,30.213207,0.6,9.5904,180.0
20200606T1400,29.893208,0.9,9.8568,180.0
20200606T1500,29.483208,1.1,9.324,180.0
20200606T1600,29.083208,1.6,8.258399,180.0
20200606T1700,29.373207,1.5,7.4592,180.0
20200606T1800,28.353207,0.8,5.8608,180.0
20200606T1900,28.783207,0.0,2.1967907,194.03624
20200606T2000,28.583208,0.0,1.5984001,180.0
20200606T2100,28.343206,0.0,2.1312,180.0
20200606T2200,27.893208,0.0,1.3583788,168.69006
20200606T2300,27.653208,0.0,1.506986,135.0
20200607T0000,27.353207,0.0,1.8837326,135.0
20200607T0100,26.963207,0.0,2.2916594,144.46231
20200607T0200,26.563208,0.0,2.6237357,156.0375
20200607T0300,26.323208,0.0,2.4560866,139.3987
20200607T0400,26.173206,0.0,2.0806506,129.80557
20200607T0500,25.963207,0.0,2.0806506,129.80557
20200607T0600,26.103207,0.0,2.2916594,125.537674
20200607T0700,27.983208,0.0,3.7391024,184.08562
20200607T0800,29.553207,0.0,8.697869,207.34988
20200607T0900,30.423206,0.0,10.646005,211.70143
20200607T1000,31.313208,0.0,11.157041,213.31064
20200607T1100,32.173206,0.0,10.873559,210.96376
20200607T1200,32.973206,0.0,10.508459,210.46555
20200607T1300,33.333206,0.0,10.375929,209.19748
20200607T1400,32.50321,0.1,10.508459,210.46555
20200607T1500,32.083206,0.1,10.420293,212.47119
20200607T1600,31.623207,0.1,10.345105,214.50853
20200607T1700,31.413208,0.0,10.070483,217.47618
20200607T1800,30.413208,0.0,7.572511,219.28941
20200607T1900,31.603207,0.0,3.7862556,219.28941
20200607T2000,30.923206,0.0,3.9603205,199.65382
20200607T2100,30.153208,0.0,4.4656777,197.35403
20200607T2200,29.733208,0.0,4.598777,190.00798
20200607T2300,29.353207,0.0,4.652476,193.24052
20200608T0000,28.933207,0.0,5.0545845,198.43495
20200608T0100,27.923206,0.0,5.2474713,203.9625
20200608T0200,27.233208,0.0,5.124306,207.89728
20200608T0300,26.763206,0.0,5.5434246,215.21759
20200608T0400,26.343206,0.0,5.2878885,220.91438
20200608T0500,26.193207,0.0,4.713097,222.7094
20200608T0600,26.593206,0.0,3.7862556,219.28941
20200608T0700,28.613207,0.0,6.9926825,229.63547
20200608T0800,30.483208,0.0,9.486234,231.84277
20200608T0900,31.743208,0.0,8.738569,232.43141
20200608T1000,32.813206,0.0,8.154626,231.63252
20200608T1100,33.733208,0.0,7.539638,237.99463
20200608T1200,33.29321,0.0,6.675965,241.38954
20200608T1300,34.84321,0.0,6.9468617,237.52881
20200608T1400,34.903206,0.0,6.823169,231.3402
20200608T1500,33.59321,0.0,7.1977315,231.009
20200608T1600,33.163208,0.3,7.1977315,231.009
20200608T1700,32.643208,0.2,6.823169,231.3402
20200608T1800,31.893208,0.2,5.2744513,225.0
20200608T1900,31.563208,0.0,6.7394466,198.43495
20200608T2000,30.763206,0.0,4.270717,183.57634
20200608T2100,29.243208,0.0,4.598777,190.00798
20200608T2200,28.243208,0.0,4.4656777,197.35403
20200608T2300,27.743208,0.0,4.6600966,210.96376
20200609T0000,27.713207,0.5,5.2878885,220.91438
20200609T0100,26.513206,0.0,5.2744513,225.0
20200609T0200,25.963207,0.0,5.2878885,220.91438
20200609T0300,25.483208,0.0,5.117377,218.65982
20200609T0400,25.293207,0.0,3.767465,225.0
20200609T0500,25.193207,0.0,2.8815567,213.69006
20200609T0600,25.653208,0.0,2.3976,180.0
20200609T0700,28.143208,0.0,4.802594,213.69006
20200609T0800,30.353207,0.0,9.185971,253.1416
20200609T0900,31.983208,0.0,9.914233,263.82983
20200609T1000,33.553207,0.0,8.00974,273.8141
20200609T1100,34.853207,0.0,4.824709,276.34018
20200609T1200,35.873207,0.0,3.2408962,279.46234
20200609T1300,36.383205,0.0,1.6848617,288.43494
20200609T1400,35.053207,0.0,0.5328,270.0
20200609T1500,34.893208,0.0,1.5533656,239.03624
20200609T1600,34.163208,0.5,4.5833187,234.46233
20200609T1700,33.663208,0.8,5.842608,223.15239
20200609T1800,32.403206,0.8,4.802594,199.44003
20200609T1900,31.293207,0.9,5.0615997,180.0
20200609T2000,29.883207,0.0,5.8668513,182.60257
20200609T2100,28.593206,0.0,5.0615997,180.0
20200609T2200,27.853207,0.0,4.802594,183.17982
20200609T2300,27.053207,0.0,4.861344,189.46233
20200610T0000,26.593206,0.0,5.2339296,194.74356
20200610T0100,26.463207,0.0,5.089565,186.009
20200610T0200,26.303207,0.0,3.996,180.0
20200610T0300,26.133207,0.0,3.207881,184.76364
20200610T0400,25.963207,0.0,3.0374272,195.25513
20200610T0500,25.763206,0.0,3.0374272,195.25513
20200610T0600,26.153208,0.0,2.4560864,192.52881
20200610T0700,28.373207,0.0,5.089565,222.8789
20200610T0800,29.213207,0.3,8.154626,218.3675
20200610T0900,30.613207,0.3,8.697868,220.03026
20200610T1000,30.403208,0.5,7.572511,230.7106
20200610T1100,30.833208,0.4,6.675965,241.38954
20200610T1200,31.073208,0.5,6.0748544,254.74487
20200610T1300,31.063208,0.7,5.5943995,270.0
20200610T1400,30.943207,1.0,5.600739,272.72632
20200610T1500,30.733208,1.3,5.651197,278.1301
20200610T1600,30.323208,1.5,4.4656777,287.35403
20200610T1700,30.663208,1.5,3.6234312,287.10272
20200610T1800,30.003208,0.4,2.742756,299.0546
20200610T1900,29.273207,0.0,2.4560866,319.3987
20200610T2000,28.263206,0.1,4.765508,296.56506
20200610T2100,27.093206,0.7,4.802594,303.69006
20200610T2200,25.993208,0.6,4.713097,317.2906
20200610T2300,25.133207,0.3,4.5288,331.92752
20200611T0000,25.023207,0.0,4.4097047,334.98312
20200611T0100,24.773207,0.0,4.270717,356.42368
20200611T0200,24.613207,0.0,3.9603205,19.653809
20200611T0300,24.483208,0.0,3.6234317,36.027374
20200611T0400,24.423206,0.0,3.5840454,48.01277
20200611T0500,24.413208,0.0,3.4115846,51.34018
20200611T0600,24.543207,0.0,3.4734309,57.5288
20200611T0700,25.753208,0.0,3.3379824,61.38954
20200611T0800,27.203207,0.0,0.84243083,198.43495
20200611T0900,28.073208,0.0,3.6234317,216.02737
20200611T1000,28.263206,0.1,7.684151,213.69006
20200611T1100,29.043207,0.0,9.697106,217.18471
20200611T1200,30.603207,0.0,10.951599,221.05481
20200611T1300,30.773207,0.0,10.925649,225.0
20200611T1400,31.223207,0.0,10.028111,230.38931
20200611T1500,31.453207,0.0,9.0576,241.92752
20200611T1600,31.193207,0.0,7.670285,249.67686
20200611T1700,30.783207,0.0,7.0533133,259.11447
20200611T1800,29.953207,0.0,4.652476,256.7595
20200611T1900,29.173206,0.0,3.9333487,241.69925
20200611T2000,28.423206,0.0,3.7105224,248.9625
20200611T2100,27.763206,0.0,2.9304,270.0
20200611T2200,27.073208,0.0,2.664,270.0
20200611T2300,26.523207,0.0,2.1312,270.0
20200612T0000,26.203207,0.0,1.3583788,258.69006
20200612T0100,25.913208,0.0,1.5984001,270.0
20200612T0200,25.603207,0.0,1.6204481,279.46234
20200612T0300,25.323208,0.0,1.5984001,270.0
20200612T0400,25.133207,0.0,1.332,270.0
20200612T0500,25.003208,0.0,0.2664,270.0
20200612T0600,25.423206,0.0,0.2664,89.99999
20200612T0700,27.803207,0.0,2.664,233.1301
20200612T0800,29.563208,0.0,7.688767,255.96376
20200612T0900,30.613207,0.2,9.5644655,257.125
20200612T1000,29.703207,0.3,9.87119,266.90594
20200612T1100,32.163208,0.0,9.073257,273.36646
20200612T1200,31.053207,0.2,8.29698,275.52753
20200612T1300,32.873207,0.2,7.197732,272.1211
20200612T1400,31.283207,0.2,6.3936005,270.0
20200612T1500,31.073208,0.4,6.1272,270.0
20200612T1600,30.813208,0.6,5.068606,266.9872
20200612T1700,31.033207,0.6,4.802594,250.55997
20200612T1800,29.743208,0.4,3.5741313,243.43495
20200612T1900,28.573208,0.0,3.1067312,239.03624
20200612T2000,27.873207,0.0,4.212154,235.30484
20200612T2100,27.683207,0.0,4.212154,235.30484
20200612T2200,27.033207,0.0,5.7198505,242.24146
20200612T2300,26.513206,0.0,5.117377,231.3402
20200613T0000,26.103207,0.0,4.161301,230.19443
20200613T0100,25.823208,0.0,3.6234317,233.97263
20200613T0200,25.743208,0.0,3.0374274,232.12502
20200613T0300,25.703207,0.0,2.1967907,194.03624
20200613T0400,25.643208,0.0,2.664,180.0
20200613T0500,25.643208,0.0,2.9304,180.0
20200613T0600,26.213207,0.0,3.996,180.0
20200613T0700,28.223207,0.0,5.7384315,201.8014
20200613T0800,29.763206,0.0,5.8608,270.0
20200613T0900,29.823208,0.9,8.223954,245.09525
