location,Hà Nội,Hà Nội,Hà Nội,Hà Nội
lat,20.33322,20.33322,20.33322,20.33322
lon,105.93750,105.93750,105.93750,105.93750
asl,32.773,32.773,32.773,32.773
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Temperature,Precipitation,Wind Speed,Wind Direction
20200614T1000,30.867027,1.4,7.670285,110.323135
20200614T1100,31.287027,0.5,7.8892193,101.68936
20200614T1200,31.497026,0.0,10.084568,102.20047
20200614T1300,31.327026,0.6,10.870295,107.10272
20200614T1400,30.737026,0.5,11.5784445,113.02548
20200614T1500,30.187027,0.4,11.467584,120.73548
20200614T1600,29.787027,0.0,10.575777,130.91438
20200614T1700,29.167027,0.0,10.070483,142.52382
20200614T1800,28.407026,0.0,9.418661,151.26021
20200614T1900,27.757027,0.0,8.339639,153.43495
20200614T2000,27.997026,0.2,7.7576847,164.0546
20200614T2100,27.867027,1.4,7.501892,173.88449
20200614T2200,27.787027,1.4,7.2125063,184.23639
20200614T2300,27.677027,0.6,5.9150395,187.76517
